RECIPE_FILE_PATH,EXECUTION_DATE_TIME,EXECUTION_DURATION,EXCEPTIONS_SUMMARY
"src/main/resources/xmltobq/ETL/m_DWH_E_MOD_ORDENES_CLIENTE_AF/_ETL_m_DWH_E_MOD_ORDENES_CLIENTE_AF.json","2026/03/19 15:07:48.078","72","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_PLAZO_DELETE/_ETL_m_DWH_L_TG_PLAZO_DELETE.json","2026/03/19 20:16:17.636","71","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_PROD_CRS_FATCA_INSERT/_ETL_m_DWH_L_TG_PROD_CRS_FATCA_INSERT.json","2026/03/19 20:13:56.136","71","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_EEMM_CUENTA_CONT_UPDATE/_ETL_m_DWH_EEMM_CUENTA_CONT_UPDATE.json","2026/03/19 13:17:31.843","71","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_RELACION_PERSONAS_INSERT/_ETL_m_DWH_L_TG_RELACION_PERSONAS_INSERT.json","2026/03/19 20:12:40.821","70","SUCCESS"
"src/main/resources/xmltobq/ODS/MIS_590_2/m_STG_HIER_PRODMIS_PB_N7/_ETL_m_STG_HIER_PRODMIS_PB_N7.json","2026/03/19 16:15:10.384","70","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_MOD_CLIENTE_MOVIMIENTO_FI/_ETL_m_DWH_E_MOD_CLIENTE_MOVIMIENTO_FI.json","2026/03/19 14:59:18.448","70","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_PAIS_BE_INSERT/_ETL_m_DWH_L_TG_PAIS_BE_INSERT.json","2026/03/19 20:18:55.900","69","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_MOD_SITUAC_CONCURSAL/_ETL_m_DM_MOD_SITUAC_CONCURSAL.json","2026/03/19 20:02:16.840","69","SUCCESS"
"src/main/resources/xmltobq/ODS/MIS_590_2/m_STG_HIER_CTA_BAL_N6/_ETL_m_STG_HIER_CTA_BAL_N6.json","2026/03/19 12:23:55.079","69","SUCCESS"
