cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf_spark_218,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_149,n2-highcpu-32,n2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_188,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_228,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_320,n2-highcpu-32,n2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_78,n2-highcpu-16,n2,2,4,32,64,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_171,e2-highcpu-32,e2,9,10,288,320,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_161,n2-highcpu-32,n2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_305,n2-highcpu-32,n2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_346,n2-highcpu-32,n2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_89,n2-highcpu-16,n2,2,4,32,64,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_196,e2-highcpu-32,e2,9,10,288,320,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_93,n2-highcpu-96,n2,9,10,864,960,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_138,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_297,n2-highcpu-32,n2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_167,n2-highcpu-16,n2,2,4,32,64,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_150,n2-highcpu-32,n2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_44,n2-highcpu-32,n2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_200,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
