cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf-dmr-load-t-02-10-0210,wf_DMR_LOAD_T_02_10,39,6,e2-highcpu-32,e2-highcpu-32,45.76,7.1754,T_02_10_SFMC,03:10
cluster-wf-dmr-load-t-08-00-0800,wf_DMR_LOAD_T_08_00,24,6,n2d-highcpu-96,n2d-highcpu-96,42.73,26.3192,T_08_00_PD_JCO,09:00
comparator-partner-data-4433-1-j,UNKNOWN_DAG_ID,29,6,e2-highcpu-32,e2-highcpu-32,42.22,6.6196,ZERO_TIMER,00:00
stg-to-ods-card-processing-644-1-c,UNKNOWN_DAG_ID,12,8,e2-highcpu-32,e2-highcpu-32,41.95,8.4579,ZERO_TIMER,00:00
stg-to-ods-fixed-term-deposits-396,UNKNOWN_DAG_ID,12,10,e2-highcpu-32,e2-highcpu-32,41.55,10.2382,ZERO_TIMER,00:00
comparator-current-accounts-385-2f,UNKNOWN_DAG_ID,25,5,n2-highcpu-32,n2-highcpu-32,41.27,7.9235,ZERO_TIMER,00:00
comparator-mis-590-2-n,UNKNOWN_DAG_ID,47,4,n2-highcpu-32,n2-highcpu-32,39.49,6.3183,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-n,UNKNOWN_DAG_ID,47,5,e2-highcpu-32,e2-highcpu-32,39.41,5.2972,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-05-35-0535,wf_DMR_LOAD_T_05_35,31,11,e2-highcpu-32,e2-highcpu-32,38.26,10.2831,T_05_35_JERARQUIAS,06:35
stg-to-ods-sg-insurances-and-pens4,UNKNOWN_DAG_ID,2,7,e2-highcpu-32,e2-highcpu-32,37.24,6.6737,ZERO_TIMER,00:00
stg-to-ods-current-accounts-385-20,UNKNOWN_DAG_ID,6,10,e2-highcpu-32,e2-highcpu-32,37.07,9.1330,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-02-15-0215,wf_DWH_LOAD_T_02_15,29,5,e2-highcpu-32,e2-highcpu-32,36.71,4.9341,T_02_15_Perfilados_MIFID,03:15
cluster-wf-dwh-load-t-00-00-0000,wf_DWH_LOAD_T_00_00,17,6,n2d-highcpu-128,n2d-highcpu-128,36.26,29.7822,Timer_00_00,01:00
comparator-risk-data-base-es-29948,UNKNOWN_DAG_ID,10,7,e2-highcpu-32,e2-highcpu-32,35.99,6.4501,ZERO_TIMER,00:00
stg-to-ods-odigo-contact-center-7c,UNKNOWN_DAG_ID,5,9,e2-highcpu-32,e2-highcpu-32,35.83,8.0263,ZERO_TIMER,00:00
