cluster_name,max_concurrent_jobs
stg-to-ods-adp-global-view-36267-1,2
stg-to-ods-cirbe-22112-1-c,2
stg-to-ods-general-ledger-5900-2-b,2
stg-to-ods-mis-590-2-l,2
stg-to-ods-safe-deposit-boxes-3516,2
stg-to-ods-cirbe-22112-1-d,2
stg-to-ods-mis-590-2-c,2
cluster-wf-load-act-99dee7a2-0000,2
cluster-wf-dmr-load-t-00-30-0030,2
stg-to-ods-alerts-and-advices-sys7,2
comparator-partner-data-4433-1-g,2
stg-to-ods-sg-insurances-and-pensc,2
stg-to-ods-general-ledger-5900-2-c,2
comparator-current-accounts-385-23,2
stg-to-ods-partner-data-4433-1-e,2
cluster-wf-anonimiza-636bf97f-main,2
stg-to-ods-mis-590-2-k,2
cluster-wf-carga-con-7cc57cf7-main,2
cluster-wf-load-info-2c1ad100-0630,2
stg-to-ods-sfe-activa-cliente-2555,2
comparator-alerts-and-advices-sys1,2
stg-to-ods-current-accounts-385-2f,2
cluster-wf-dwh-load-t-04-30-0430,2
cluster-wf-dmr-load-t-07-30-0730,2
stg-to-ods-integrated-mailing-6640,2
stg-to-ods-sg-insurances-and-pens4,2
stg-to-ods-four-eyes-es-4552-1,2
stg-to-ods-tesoreria-22115-1-a,2
comparator-partner-data-4433-1-f,2
stg-to-ods-mis-590-2-o,2
stg-to-ods-db-sas-46485-3-c,2
comparator-sg-insurances-and-pens7,2
cluster-wf-dwh-load-t-05-20-0520,2
comparator-general-ledger-5900-2-c,2
comparator-db-proposal-tool-es-10a,1
comparator-cirbe-22112-1-a,1
stg-to-ods-reporting-ho-es-23094f,1
cluster-wf-dwh-load-t-13-00-1300,1
comparator-db-sas-46485-3-a,1
comparator-host-architecture-22092,1
comparator-mis-590-2-i,1
cluster-wf-dmr-load-t-08-30-0830,1
stg-to-ods-partner-data-4433-1-i,1
comparator-financial-assets-402-1d,1
cluster-wf-carga-ho-intraday-main,1
comparator-host-architecture-2209d,1
comparator-ldap-directory-service8,1
stg-to-ods-ldap-directory-servicec,1
comparator-sg-insurances-and-pens5,1
comparator-reporting-ho-es-230942,1
cluster-wf-dmr-load-425ff947-0130,1
stg-to-ods-db-proposal-tool-es-106,1
cluster-wf-genera-re-3f8fe730-main,1
stg-to-ods-host-architecture-2209d,1
stg-to-ods-reporting-ho-es-23094b,1
stg-to-ods-current-accounts-385-26,1
stg-to-ods-cirbe-22112-1-a,1
comparator-multi-bank-aggregator3,1
comparator-reporting-ho-es-230943,1
comparator-general-ledger-5900-2-d,1
comparator-dwh-control-c,1
cluster-wf-dmr-load-t-21-50-2150,1
stg-to-ods-host-architecture-2209f,1
stg-to-ods-dwh-control-c,1
cluster-wf-load-info-e36b4a33-0830,1
comparator-current-accounts-385-2a,1
stg-to-ods-db-sas-46485-3-a,1
stg-to-ods-risk-data-base-es-29941,1
cluster-wf-cro-d-load-main,1
stg-to-ods-multi-bank-aggregatord,1
stg-to-ods-financial-assets-402-1c,1
cluster-wf-load-act-t-04-00-0400,1
comparator-partner-data-4433-1-i,1
stg-to-ods-partner-data-4433-1-h,1
stg-to-ods-general-ledger-5900-2-d,1
cluster-wf-carga-inf-b681b46e-main,1
stg-to-ods-sg-insurances-and-pens1,1
cluster-wf-dwh-load-t-00-30-0030,1
comparator-partner-data-4433-1-h,1
stg-to-ods-mis-590-2-i,1
