cluster_name,recipe_filename,p95_job_duration_ms,avg_job_duration_ms,runs
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4091.json,2203416,811846.1666666666,6
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3868.json,2203005,624607.2857142857,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3864.json,2199279,751464.1428571428,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3874.json,2195103,743939.8571428572,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3863.json,2194618,606575.5714285715,7
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3870.json,2192977,705246.4,5
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_680.json,2191826,689143.3333333333,6
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_601.json,2191443,640103.1666666667,6
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1102.json,2191102,608027.4285714286,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1007.json,2187765,564925.7142857143,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_511.json,2185343,871912.5714285715,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_643.json,2184124,938214.6666666667,6
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1062.json,2181014,742267.4285714286,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1074.json,2177277,584089,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_457.json,2177276,633889.1428571428,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1194.json,2176510,572352.2857142857,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_644.json,2170655,958845.3333333335,6
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_614.json,2160551,481355.5714285714,7
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_603.json,2157269,597683.1666666666,6
cluster-wf_spark_246,_SPARK_JOB_recipe_filename_6289.json,2126186,1398849.7142857143,7
