cluster_name,total_runtime_ms,total_runtime_minutes,total_runtime_hours
comparator-partner-data-4433-1-c,3060466,51.01,0.85
comparator-compliance-money-laundf,3037235,50.62,0.84
comparator-sfe-activa-cliente-2559,3007458,50.12,0.84
stg-to-ods-general-ledger-5900-2-b,3001361,50.02,0.83
comparator-insolvencies-system-63a,2997207,49.95,0.83
stg-to-ods-payments-544-2-b,2987579,49.79,0.83
cluster-wf-load-info-96fe38cb-0200,2997084,49.95,0.83
comparator-mis-590-2-l,2956447,49.27,0.82
stg-to-ods-collection-administ-unf,2920542,48.68,0.81
cluster-wf-load-act-99dee7a2-0530,2907335,48.46,0.81
stg-to-ods-sfd-digital-signature2,2932328,48.87,0.81
comparator-partner-data-4433-1-e,2869042,47.82,0.8
stg-to-ods-integrated-mailing-664a,2880874,48.01,0.8
stg-to-ods-sfe-activa-cliente-2554,2854619,47.58,0.79
comparator-general-ledger-5900-2-c,2745503,45.76,0.76
cluster-wf-dwh-load-t-22-33-2233,2718517,45.31,0.76
stg-to-ods-db-sas-46485-3-e,2746965,45.78,0.76
cluster-wf-dmr-load-t-03-25-0325,2749406,45.82,0.76
comparator-sfe-activa-cliente-255e,2709073,45.15,0.75
comparator-alerts-and-advices-sys1,2688146,44.8,0.75
stg-to-ods-general-tables-5898-1-c,2669018,44.48,0.74
stg-to-ods-sfe-activa-cliente-2557,2625897,43.76,0.73
comparator-payments-544-2-a,2632138,43.87,0.73
stg-to-ods-telephonic-banking-2309,2624204,43.74,0.73
comparator-sfd-digital-signaturee,2593795,43.23,0.72
stg-to-ods-sfe-activa-cliente-255c,2609988,43.5,0.72
stg-to-ods-alerts-and-advices-sys7,2530398,42.17,0.7
stg-to-ods-compliance-money-launde,2509929,41.83,0.7
cluster-wf-dmr-load-t-01-50-0150,2466253,41.1,0.69
cluster-wf-dwh-load-t-21-06-2106,2469543,41.16,0.69
comparator-mis-590-2-d,2450941,40.85,0.68
comparator-cirbe-22112-1-d,2455230,40.92,0.68
comparator-mis-590-2-g,2454935,40.92,0.68
cluster-wf-dmr-load-t-22-00-2200,2405542,40.09,0.67
cluster-wf-dwh-load-t-22-34-2234,2378139,39.64,0.66
comparator-sfe-activa-cliente-255b,2357798,39.3,0.65
stg-to-ods-partner-data-4433-1-e,2342950,39.05,0.65
stg-to-ods-customer-engagement-16f,2348300,39.14,0.65
stg-to-ods-insolvencies-system-63d,2219936,37,0.62
comparator-exposure-risk-29832-1-a,2242674,37.38,0.62
comparator-customer-engagement-169,2232563,37.21,0.62
cluster-wf-dwh-load-t-05-20-0520,2185404,36.42,0.61
cluster-wf-dmr-load-t-03-10-0310,2159810,36,0.6
cluster-wf-load-info-2c1ad100-0630,2135768,35.6,0.59
cluster-wf-dmr-load-t-07-30-0730,2117154,35.29,0.59
stg-to-ods-partner-data-4433-1-c,2044311,34.07,0.57
stg-to-ods-mis-590-2-g,2022360,33.71,0.56
comparator-mis-590-2-a,2013481,33.56,0.56
stg-to-ods-exposure-risk-29832-1-a,1941664,32.36,0.54
cluster-wf-dmr-load-t-00-30-0030,1929211,32.15,0.54
stg-to-ods-adp-global-view-36267-1,1879832,31.33,0.52
cluster-wf-dwh-load-24b57cb2-0530,1790936,29.85,0.5
comparator-collection-administ-unf,1733979,28.9,0.48
cluster-wf-dwh-load-t-04-30-0430,1713114,28.55,0.48
cluster-wf-dmr-load-t-08-20-0820,1729997,28.83,0.48
cluster-wf-dmr-load-t-23-05-2305,1657238,27.62,0.46
cluster-wf-dmr-load-t-02-45-0245,1625701,27.1,0.45
comparator-adp-global-view-36267-1,1621290,27.02,0.45
comparator-cirbe-22112-1-a,1605025,26.75,0.45
stg-to-ods-current-accounts-385-2f,1580607,26.34,0.44
comparator-mis-590-2-o,1554512,25.91,0.43
cluster-wf-anonimiza-636bf97f-main,1502481,25.04,0.42
stg-to-ods-mis-590-2-l,1478014,24.63,0.41
cluster-wf-carga-inf-b681b46e-main,1464849,24.41,0.41
cluster-wf-dmr-load-t-22-05-2205,1412871,23.55,0.39
comparator-current-accounts-385-23,1398937,23.32,0.39
comparator-partner-data-4433-1-m,1354591,22.58,0.38
stg-to-ods-partner-data-4433-1-m,1370188,22.84,0.38
stg-to-ods-db-sas-46485-3-c,1380438,23.01,0.38
stg-to-ods-mis-590-2-o,1341443,22.36,0.37
stg-to-ods-db-record-keeping-es-12,1325812,22.1,0.37
comparator-db-record-keeping-es-12,1324277,22.07,0.37
stg-to-ods-mis-590-2-a,1317476,21.96,0.37
cluster-wf-carga-con-7cc57cf7-main,1302009,21.7,0.36
comparator-mis-590-2-i,1240435,20.67,0.34
stg-to-ods-cirbe-22112-1-d,1185653,19.76,0.33
stg-to-ods-tesoreria-22115-1-a,1179229,19.65,0.33
cluster-wf-cro-d-load-main,1172114,19.54,0.33
stg-to-ods-safe-deposit-boxes-3516,1175540,19.59,0.33
stg-to-ods-risk-data-base-es-29941,1160357,19.34,0.32
cluster-wf-dwh-load-24b57cb2-0400,1165408,19.42,0.32
stg-to-ods-mis-590-2-k,1129591,18.83,0.31
comparator-partner-data-4433-1-g,1105323,18.42,0.31
stg-to-ods-integrated-mailing-6640,1063007,17.72,0.3
cluster-wf-load-act-99dee7a2-0000,1033814,17.23,0.29
comparator-cirbe-22112-1-c,1044444,17.41,0.29
cluster-wf-dwh-load-t-13-00-1300,1023988,17.07,0.28
cluster-wf-dmr-load-t-02-00-0200,996528,16.61,0.28
comparator-db-sas-46485-3-c,1014323,16.91,0.28
comparator-safe-deposit-boxes-3518,1019136,16.99,0.28
cluster-wf-load-info-e36b4a33-0830,1014623,16.91,0.28
comparator-current-accounts-385-2a,991132,16.52,0.28
comparator-financial-assets-402-1d,953384,15.89,0.26
cluster-wf-dmr-load-t-08-30-0830,913259,15.22,0.25
comparator-tesoreria-22115-1-a,851397,14.19,0.24
stg-to-ods-cirbe-22112-1-c,850117,14.17,0.24
stg-to-ods-partner-data-4433-1-g,880374,14.67,0.24
cluster-wf-dmr-load-t-23-00-2300,847385,14.12,0.24
stg-to-ods-current-accounts-385-26,840742,14.01,0.23
comparator-partner-data-4433-1-f,845496,14.09,0.23
comparator-sg-insurances-and-pens7,785572,13.09,0.22
stg-to-ods-partner-data-4433-1-f,809780,13.5,0.22
cluster-wf-load-act-t-04-00-0400,809731,13.5,0.22
stg-to-ods-ldap-directory-servicec,732796,12.21,0.2
comparator-four-eyes-es-4552-1,672835,11.21,0.19
stg-to-ods-sg-insurances-and-pensc,637043,10.62,0.18
stg-to-ods-reporting-ho-es-23094f,654448,10.91,0.18
comparator-sfe-activa-cliente-2550,611038,10.18,0.17
stg-to-ods-host-architecture-2209f,622391,10.37,0.17
cluster-wf-anonimizacion-load-main,619472,10.32,0.17
cluster-wf-dwh-load-t-00-30-0030,615669,10.26,0.17
stg-to-ods-sfe-activa-cliente-2555,574269,9.57,0.16
comparator-ldap-directory-service8,572521,9.54,0.16
comparator-dwh-control-b,547146,9.12,0.15
stg-to-ods-general-ledger-5900-2-d,549833,9.16,0.15
stg-to-ods-general-ledger-5900-2-c,528116,8.8,0.15
stg-to-ods-host-architecture-2209d,535180,8.92,0.15
stg-to-ods-dwh-control-b,553583,9.23,0.15
stg-to-ods-four-eyes-es-4552-1,534949,8.92,0.15
stg-to-ods-db-proposal-tool-es-106,535081,8.92,0.15
comparator-general-ledger-5900-2-d,495970,8.27,0.14
comparator-multi-bank-aggregator3,421555,7.03,0.12
comparator-host-architecture-22092,437113,7.29,0.12
stg-to-ods-mis-590-2-i,446744,7.45,0.12
comparator-db-proposal-tool-es-10a,449124,7.49,0.12
comparator-partner-data-4433-1-h,433557,7.23,0.12
comparator-partner-data-4433-1-i,379952,6.33,0.11
stg-to-ods-db-sas-46485-3-a,388264,6.47,0.11
stg-to-ods-cirbe-22112-1-a,383965,6.4,0.11
stg-to-ods-partner-data-4433-1-h,411266,6.85,0.11
stg-to-ods-partner-data-4433-1-i,380027,6.33,0.11
stg-to-ods-reporting-ho-es-23094b,390274,6.5,0.11
stg-to-ods-multi-bank-aggregatord,412259,6.87,0.11
comparator-reporting-ho-es-230943,374751,6.25,0.1
comparator-reporting-ho-es-230942,355502,5.93,0.1
comparator-db-sas-46485-3-a,369563,6.16,0.1
comparator-sg-insurances-and-pens5,375536,6.26,0.1
comparator-host-architecture-2209d,337938,5.63,0.09
stg-to-ods-sg-insurances-and-pens1,330469,5.51,0.09
cluster-wf-dmr-load-t-21-50-2150,295876,4.93,0.08
cluster-wf-dmr-load-e338500b-0035,285537,4.76,0.08
cluster-wf-carga-mov-58900747-main,272352,4.54,0.08
cluster-wf-genera-re-3f8fe730-main,249826,4.16,0.07
stg-to-ods-dwh-control-c,205849,3.43,0.06
comparator-dwh-control-c,175827,2.93,0.05
cluster-wf-dmr-load-425ff947-0130,126453,2.11,0.04
