cluster_name,recipe_filename,avg_job_duration_ms
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_ESTADO_BLOQUEO_INSERT.json,869439.7142857143
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_TG_TIPO_VINC_DB.json,868976.1666666666
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_CODIGO_SERVICIO_UPDATE.json,868336.8333333333
cluster-wf-dwh-load-4b53af6c-0420,_ETL_m_DM_MOD_MAESTRA_CONTRATOS_UBR.json,865759.6666666666
cluster-wf-load-info-83c7f70d-0730,_ETL_m_DWH_F_CONTRATOS_METRICAS_MIS.json,862517.2857142857
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DM_HIER_CENTRO_MES_9.json,852010.4285714285
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DM_HIER_CTA_BAL_N3.json,846069.8571428572
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DM_HIER_DIVISA.json,844073
comparator-sg-insurances-and-pens3,_ETL_m_ODS_TFO_02_HIST_OPER_PP.json,841052.5
stg-to-ods-sfe-activa-cliente-2556,_ETL_m_ODS_ACT_TASK_FOLLOW_UP.json,839280.7142857143
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_D_COD_POBLACION_INSERT.json,837023.1666666666
cluster-wf-cro-rc-load-main,_ETL_m_DM_MOD_CONTRATO_RC_D.json,836767.6666666666
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_CENTRO_UBR.json,833858.6666666666
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DWH_F_MOV_OPER_ESPECIALES_TJ_UPDATE.json,833682.5
cluster-wf-dmr-load-t-06-15-0615,_ETL_m_DM_LKP_EDIFICIO.json,833568.2857142857
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_TG_SITUACION_DETERIORO.json,832959.3333333334
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_FIN_OPERACION.json,829117.857142857
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_TG_TIPO_VIA.json,825162.1666666666
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_SITUACION_PERSONA.json,824670.2857142857
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_TASADORAS.json,824132.4285714286
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_MOT_EXENCION_COMISION_INSERT.json,823550.2857142857
cluster-wf-load-info-7e158412-0345,_ETL_m_DM_LKP_TASACION_INMUEBLE_PO.json,821042.6666666666
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_TASADORAS.json,819954.8571428573
comparator-partner-data-4433-1-a,_ETL_m_ODS_PD_KW800T.json,817496.7142857142
