cluster_name,recipe_filename,p95_run_max_executors,avg_run_max_executors,runs
cluster-wf-dmr-load-e338500b-2208,_ETL_m_DWH_LKP_TARIF_COND_PART_UPDATE.json,9,5,5
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_MOD_MOVIMIENTOS_TJ.json,9,5.8,5
stg-to-ods-loans-and-leasing-5272,_ETL_m_ODS_TPO50_BIENES.json,9,7,4
stg-to-ods-loans-and-leasing-5272,_ETL_m_ODS_PM_24_PRESTAMO_ESPECIAL.json,9,8.25,4
cluster-wf-load-info-79279de3-0740,_ETL_m_DM_LKP_ODIGO_EVENTOS_IVR.json,8,4.2,7
comparator-payments-544-2-d,_ETL_m_ODS_TEX_55.json,8,5.571428571428571,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TRT_05_RECAUDACION_EST.json,8,5,7
stg-to-ods-tf-imex-459-1-a,_ETL_m_ODS_PARTY_IMEX.json,8,6.5,7
cluster-wf-dwh-load-t-08-15-0815,_ETL_m_DWH_LKP_CARTERA_WM_INSERT.json,8,4.333333333333333,7
stg-to-ods-fixed-term-deposits-396,_ETL_m_ODS_CVCM_TFP_03_LIQUIDAC.json,8,5.571428571428571,7
stg-to-ods-risk-data-base-es-2994b,_ETL_m_ODS_RD_03_FR_CLI_CONT.json,8,6.833333333333333,7
stg-to-ods-tesoreria-22115-1-b,_ETL_m_ODS_TM_FOREX.json,8,4.666666666666667,7
stg-to-ods-tf-imex-459-1-a,_ETL_m_ODS_OPDOCULC.json,8,6.8,7
cluster-wf-dwh-load-t-08-15-0815,_ETL_m_DWH_D_INSTRUMENTOS_WM_INSERT.json,8,5,7
comparator-electronic-banking-4845,_ETL_m_ODS_TEB_16_LOTES.json,8,6.285714285714286,7
stg-to-ods-mis-590-2-e,_ETL_m_STG_LKP_CLIENTE_MIS_D.json,8,7.333333333333333,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TEX53.json,8,6.6,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TGK24.json,8,7,7
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_LKP_PRECIO_INV_FP.json,8,4,7
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_MOD_MENSAJE_OPERADOR_FP.json,8,4.428571428571428,7
comparator-warning-risk-47605-1-a,_ETL_m_ODS_AR_03_ALARMA_CONS.json,8,4.333333333333334,7
cluster-wf-load-info-b44fa215-0520,_ETL_m_DWH_D_ORDENES_CG_INSERT.json,8,2.7142857142857144,7
cluster-wf-dmr-load-t-23-50-2350,_ETL_m_DWH_E_LKP_MOVIMIENTO_DP.json,8,7.714285714285714,7
stg-to-ods-sfe-activa-cliente-2556,_ETL_m_ODS_ACT_CONTACT_RESULT.json,8,4.333333333333334,7
stg-to-ods-sfe-activa-cliente-2556,_ETL_m_ODS_ACT_CONTACT.json,8,5.142857142857143,7
stg-to-ods-mis-590-2-d,_ETL_m_STG_LKP_CONTRATOS.json,8,6.571428571428572,7
stg-to-ods-fixed-term-deposits-396,_ETL_m_ODS_CVCM_TFP_08_TIPOS.json,8,5.142857142857143,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TGL04.json,8,6.333333333333333,7
stg-to-ods-mis-590-2-c,_ETL_m_ODS_MIS_MA54S_CONTRATOS_DIARIO.json,8,4.5,7
stg-to-ods-card-processing-644-1-c,_ETL_m_STG_LKP_CONT_TARJETA_INFILE.json,8,4.8,7
comparator-current-accounts-385-25,_ETL_m_ODS_CVCM_KW775T.json,8,5.75,7
stg-to-ods-fx-options-kaleidoscop7,_ETL_m_ODS_RMS_RMSMESSAGES_FX.json,8,4.857142857142857,7
comparator-partner-data-4433-1-l,_ETL_m_ODS_TPW_65_MD_GLOBAL_RIESGOS.json,8,5.428571428571429,7
comparator-electronic-banking-4845,_ETL_m_ODS_TEB54_BENEFICIARIO.json,8,5.714285714285714,7
comparator-securities-valors-4090,_ETL_m_ODS_TVA_TRANSITO_BOLSA.json,8,6.5,7
stg-to-ods-partner-data-4433-1-d,_ETL_m_ODS_REL_CLIENTE_GESTOR.json,8,7.166666666666667,7
stg-to-ods-fixed-term-deposits-396,_ETL_m_ODS_TFP_53_LIQUIDACIONES.json,8,4.5,7
stg-to-ods-sfe-activa-cliente-2556,_ETL_m_ODS_ACT_OUT_INTERACCION.json,8,4.6,7
