cluster_name,recipe_filename,avg_executors_per_job,p95_run_max_executors,avg_job_duration_ms,p95_job_duration_ms,runs,seconds_at_cap,runs_reaching_cap,total_runs,fraction_reaching_cap,max_concurrent_jobs
cluster-wf-dmr-load-e338500b-0035,_ETL_m_DQ3_ODS_TSC_04_TARIFAS.json,0.7666666666666667,2,60813,60813,1,,,,,4
cluster-wf-dmr-load-e338500b-0035,_ETL_m_DQ3_ODS_TSC_05_BONIFICACIONES.json,0,,47678,47678,1,,,,,4
cluster-wf-dmr-load-e338500b-0035,_ETL_m_DQ3_ODS_TSC_07_CTO_PATRON.json,0,,50266,50266,1,,,,,4
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_AGENTE_AUTEN_REDSYS.json,0.23171949869710695,1,257587.2,449378,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_AUTORIZACION_MOV_TJ_SIA.json,1.3711237701369066,4,476258.8,854553,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_BENEFICIARIO_TJ.json,0.3193494683507841,1,366899.8,603299,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_COD_ACCION_PRICE.json,0.35216256645940347,2,296639.6,548580,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_COD_ACTIVIDAD.json,0.21836954548205534,2,245459.6,533354,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_COD_ACT_MARCA_TARJETA.json,0.09358881860433899,2,221815.4,557890,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_COMERCIOS.json,0.20143371249242237,2,274404.6,591918,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_COMERCIO_TIPO_TARJETA.json,0.12046750739075243,1,321522.8,451416,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_CONTRATOS_TARJETA.json,3.447313222898761,8,15751593.2,30186528,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_ESTADO_OPER_REDSYS.json,0.2736278789308794,1,317378.75,531169,4,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_EXTRACTO_CONTRATO_TJ.json,0.22485594017765964,2,312247.6,486638,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_FACTURAS_INAPLICABLES_TS.json,0.257058311338467,2,298634.75,495451,4,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_FACT_REMESA_COMERCIO.json,0.18765531597177143,1,243637,450922,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_IMPAGADO_REC_TJ.json,2.1097658162841815,4,5173331.5,7826865,4,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_IMPAGADO_TJ.json,0.6111729128481878,2,386999.5,501350,4,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_INCIDENCIAS_INCOMING_TS.json,0.3005911488727043,2,404470.25,499100,4,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_LOTES_COMERCIOS.json,0.30650209202526957,2,354573.2,475462,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_METODO_AUTEN_REDSYS.json,0.16581917699159077,1,271016.8,450722,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_METODO_FIN_AUTEN_REDSYS.json,0.4194221486533219,1,342425.6,535158,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_OPER_DENEGADAS_TJ_REDSYS.json,0.7971896655516265,3,379284.5,525284,4,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_REGISTRO_WALLET.json,0.7934610203504388,2,482509.6,746212,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_REMESA_COMERCIO.json,0.49063013148650003,2,344141.8,534513,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_TASAS_DTO_COMERCIOS.json,0.23537279794782812,1,364689.8,511644,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_TIPO_AUTEN_REDSYS.json,0.017889087656529516,2,412879,559185,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_TIPO_TPV.json,0.13616993265481797,1,301122.2,454615,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_TPV_COMERCIO.json,0.4513041842360506,2,539300.8,653863,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_TPV_OLD_COMERCIO.json,0.2548619148810216,2,285721.4,477634,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_LKP_TRAMO_APLAZADO_EXTR_TJ.json,0.7035697236454425,2,469459.4,737567,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_MOD_COMERCIOS_ESTADISTICA_PAR.json,0.37140900121909837,2,445036.6,634041,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_MOD_MOVIMIENTOS_TJ.json,5.16523712091062,9,35852643.8,46286342,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_MOD_MOV_OPER_ESPECIALES_TJ.json,2.7537569242233566,4,2727747,3867089,4,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_MOD_OPER_ECOM_TJ_AUT.json,0.1728966750975836,1,347577.4,468836,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DM_MOD_OPER_ECOM_TJ_AUT_DENEG.json,0.18848998717019022,1,310064,455936,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DQ3_ODS_F_TS_CONT_TARJETA.json,0.024341619492985477,2,109697.8,239665,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DQ3_ODS_F_TS_DIARIO.json,0.007430997876857749,1,133848.16666666666,314081,6,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DQ3_ODS_F_TS_MENSUAL.json,0.014814814814814814,1,169905,317836,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DQ3_ODS_F_TS_PRODUCTO.json,0.2434747278920823,2,116646.33333333334,273605,6,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DQ3_ODS_OPERSIA.json,0.05448519627754457,2,91310,131173,5,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DQ3_ODS_OPER_ECOM_TJ_AUT.json,0.061311475409836065,2,89364.33333333334,147774,6,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DQ3_ODS_OPER_ECOM_TJ_AUT_DENE.json,0.2937876068313706,2,124155.33333333333,278392,6,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DQ3_ODS_SATSECAC.json,0.12006476179011391,2,152702.66666666666,315182,6,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DQ3_ODS_TATA9.json,0.0648148148148148,2,115333.66666666666,340923,6,,,,,27
cluster-wf-dmr-load-e338500b-0100,_ETL_m_DQ3_ODS_TID05_EXTTRA.json,0.17044589400428287,2,108256.5,333355,6,,,,,27
