cluster_name,recipe_filename,peak_job_duration_ms
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1335.json,2215405
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_578.json,2212794
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4091.json,2203416
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3868.json,2203005
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3864.json,2199279
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3874.json,2195103
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3863.json,2194618
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3870.json,2192977
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_680.json,2191826
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_601.json,2191443
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1102.json,2191102
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1007.json,2187765
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_511.json,2185343
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_643.json,2184124
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1062.json,2181014
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1074.json,2177277
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_457.json,2177276
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_1194.json,2176510
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_644.json,2170655
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_614.json,2160551
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_603.json,2157269
cluster-wf_spark_246,_SPARK_JOB_recipe_filename_6289.json,2126186
cluster-wf_spark_34,_SPARK_JOB_recipe_filename_650.json,2120179
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4009.json,2112683
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3981.json,2104110
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4021.json,2092232
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4053.json,2086278
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4026.json,2084127
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4038.json,2074342
cluster-wf_spark_359,_SPARK_JOB_recipe_filename_5668.json,2073445
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3961.json,2065966
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4003.json,2059621
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4056.json,2057322
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4075.json,2056544
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3964.json,2055459
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3988.json,2052840
cluster-wf_spark_304,_SPARK_JOB_recipe_filename_4702.json,2051420
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4032.json,2048712
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3991.json,2046750
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_2305.json,2046151
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_4062.json,2045604
cluster-wf_spark_15,_SPARK_JOB_recipe_filename_3971.json,2039689
