cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf-dmr-load-t-23-05-2305,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-t-23-00-2300,n2d-highcpu-48,n2d,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-mis-590-2-o,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dwh-load-t-05-20-0520,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-load-info-2c1ad100-0630,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dwh-load-t-22-33-2233,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-e338500b-0035,n2d-highcpu-48,n2d,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dwh-load-t-04-30-0430,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-db-sas-46485-3-c,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-t-08-20-0820,n2d-highcpu-48,n2d,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-cirbe-22112-1-c,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-integrated-mailing-6640,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-safe-deposit-boxes-3516,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
comparator-safe-deposit-boxes-3518,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
comparator-cirbe-22112-1-a,n2d-highcpu-48,n2d,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dwh-load-24b57cb2-0530,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
comparator-current-accounts-385-23,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dwh-load-t-05-30-0530,e2-highcpu-32,e2,3,4,96,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-financial-assets-402-1c,n2-highcpu-48,n2,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dwh-load-t-21-06-2106,n2d-highcpu-48,n2d,2,4,96,192,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-host-architecture-2209f,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
comparator-four-eyes-es-4552-1,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
comparator-tesoreria-22115-1-a,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-customer-engagement-16f,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-db-sas-46485-3-e,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-mis-590-2-h,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-db-sas-46485-3-d,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
comparator-financial-assets-402-1d,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-loans-and-leasing-527a,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-load-act-99dee7a2-0530,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-sfe-activa-cliente-2557,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-sfe-activa-cliente-2554,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-current-accounts-385-26,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-db-record-keeping-es-12,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
comparator-sfe-activa-cliente-2550,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-mis-590-2-a,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dwh-load-24b57cb2-0400,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
comparator-general-ledger-5900-2-d,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
comparator-partner-data-4433-1-f,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-reporting-ho-es-230948,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-t-02-00-0200,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-mis-590-2-g,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
comparator-db-sas-46485-3-c,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-t-07-30-0730,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-exposure-risk-29832-1-a,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
comparator-general-ledger-5900-2-c,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-sfe-activa-cliente-255c,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-partner-data-4433-1-c,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-general-ledger-5900-2-d,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-host-architecture-2209d,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-partner-data-4433-1-f,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-carga-mov-58900747-main,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-sfe-activa-cliente-2555,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-partner-data-4433-1-g,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-load-act-99dee7a2-0000,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-load-info-e36b4a33-0830,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
comparator-ldap-directory-service8,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
cluster-wf-dmr-load-t-00-30-0030,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-cirbe-22112-1-c,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-reporting-ho-es-23094f,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-ldap-directory-servicec,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
stg-to-ods-db-proposal-tool-es-106,e2-highcpu-32,e2,2,4,64,128,default,cost_performance_balance,8cx1GBpc,""
