cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
stg-to-ods-db-mailroutinghub-es-18,UNKNOWN_DAG_ID,12,5,e2-standard-32,e2-standard-32,14.89,2.4007,ZERO_TIMER,00:00
stg-to-ods-fixed-term-deposits-396,UNKNOWN_DAG_ID,12,12,n2-standard-32,n2-standard-32,41.55,21.0305,ZERO_TIMER,00:00
stg-to-ods-fx-options-kaleidoscop7,UNKNOWN_DAG_ID,12,9,e2-standard-32,e2-standard-32,13.52,3.6341,ZERO_TIMER,00:00
stg-to-ods-questionnaire-tool-1123,UNKNOWN_DAG_ID,12,7,e2-standard-32,e2-standard-32,9.08,1.9518,ZERO_TIMER,00:00
cluster-wf-dmr-load-03d556e9-2315,wf_DMR_LOAD_T_09_00__T_23_15,11,6,n2-standard-32,n2-standard-32,9.49,2.5864,T_23_15_TIMELINES,00:15
cluster-wf-dmr-load-t-03-25-0325,wf_DMR_LOAD_T_03_25,11,6,e2-standard-32,e2-standard-32,9.16,1.7244,T_03_25_GR,04:25
cluster-wf-dmr-load-t-08-25-0825,wf_DMR_LOAD_T_08_25,11,7,n2-standard-32,n2-standard-32,12.74,3.9689,T_08_25_TSD,09:25
cluster-wf-dwh-load-4b53af6c-0400,wf_DWH_LOAD_T_04_00__T_04_20,11,9,e2-standard-32,e2-standard-32,14.65,3.9367,Timer_4_00_Contratos,05:00
cluster-wf-dwh-load-85f9116a-0430,wf_DWH_LOAD_NMIS_T_04_30,11,6,e2-standard-32,e2-standard-32,13.48,2.5373,T_4_30,05:30
cluster-wf-load-info-6c8abf4b-0130,wf_LOAD_Infocentro_T_01_30,11,6,e2-standard-32,e2-standard-32,10.60,1.9936,T_01_30_TG,02:30
comparator-general-ledger-5900-2-a,UNKNOWN_DAG_ID,11,3,n2-standard-48,n2-standard-48,11.70,2.7339,ZERO_TIMER,00:00
stg-to-ods-general-ledger-5900-2-a,UNKNOWN_DAG_ID,11,7,n2-standard-32,n2-standard-32,11.06,3.4444,ZERO_TIMER,00:00
cluster-wf-anonimizacion-load-main,wf_Anonimizacion_LOAD,10,6,e2-standard-32,e2-standard-32,10.32,1.9427,ZERO_TIMER,00:00
comparator-bpm-74674-1,UNKNOWN_DAG_ID,10,4,e2-standard-32,e2-standard-32,9.06,1.2173,ZERO_TIMER,00:00
comparator-customer-engagement-165,UNKNOWN_DAG_ID,10,7,e2-standard-32,e2-standard-32,16.87,3.6271,ZERO_TIMER,00:00
comparator-financial-agents-4550-2,UNKNOWN_DAG_ID,10,7,n2d-standard-32,n2d-standard-32,19.18,5.4837,ZERO_TIMER,00:00
comparator-guarantees-confirming6,UNKNOWN_DAG_ID,10,4,n2d-standard-32,n2d-standard-32,9.35,1.6699,ZERO_TIMER,00:00
comparator-partner-data-4433-1-c,UNKNOWN_DAG_ID,10,3,n2-standard-48,n2-standard-48,7.29,1.7022,ZERO_TIMER,00:00
comparator-risk-data-base-es-29948,UNKNOWN_DAG_ID,10,9,e2-standard-32,e2-standard-32,35.99,9.6752,ZERO_TIMER,00:00
stg-to-ods-bpm-74674-1,UNKNOWN_DAG_ID,10,7,e2-standard-32,e2-standard-32,9.95,2.1396,ZERO_TIMER,00:00
stg-to-ods-customer-engagement-16c,UNKNOWN_DAG_ID,10,3,n2-standard-48,n2-standard-48,11.21,2.6177,ZERO_TIMER,00:00
stg-to-ods-financial-agents-4550-2,UNKNOWN_DAG_ID,10,11,n2-standard-32,n2-standard-32,23.10,10.7934,ZERO_TIMER,00:00
stg-to-ods-guarantees-confirming2,UNKNOWN_DAG_ID,10,7,n2-standard-32,n2-standard-32,13.03,4.0588,ZERO_TIMER,00:00
stg-to-ods-partner-data-4433-1-c,UNKNOWN_DAG_ID,10,3,n2d-highcpu-32,n2d-highcpu-32,4.87,0.5711,ZERO_TIMER,00:00
stg-to-ods-risk-data-base-es-2994b,UNKNOWN_DAG_ID,10,13,e2-standard-32,e2-standard-32,32.32,12.1629,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-01-50-0150,wf_DMR_LOAD_T_01_50,9,7,n2d-standard-32,n2d-standard-32,8.22,2.3501,T_01_50_VL,02:50
cluster-wf-dmr-load-t-03-10-0310,wf_DMR_LOAD_T_03_10,9,5,n2-standard-32,n2-standard-32,7.20,1.6818,T_03_10_SE,04:10
comparator-db-sas-46485-3-d,UNKNOWN_DAG_ID,9,4,n2d-standard-32,n2d-standard-32,7.33,1.3100,ZERO_TIMER,00:00
comparator-financial-assets-402-1a,UNKNOWN_DAG_ID,9,7,n2d-standard-32,n2d-standard-32,18.63,5.3256,ZERO_TIMER,00:00
comparator-general-tables-5898-1-c,UNKNOWN_DAG_ID,9,4,n2-standard-32,n2-standard-32,7.48,1.4560,ZERO_TIMER,00:00
comparator-partner-data-4433-1-b,UNKNOWN_DAG_ID,9,5,e2-standard-32,e2-standard-32,7.83,1.2636,ZERO_TIMER,00:00
comparator-payments-544-2-e,UNKNOWN_DAG_ID,9,7,n2-standard-32,n2-standard-32,19.21,5.9826,ZERO_TIMER,00:00
comparator-sfe-activa-cliente-2559,UNKNOWN_DAG_ID,9,3,n2d-standard-48,n2d-standard-48,7.85,1.6833,ZERO_TIMER,00:00
comparator-tesoreria-22115-1-b,UNKNOWN_DAG_ID,9,3,n2-standard-48,n2-standard-48,11.09,2.5903,ZERO_TIMER,00:00
stg-to-ods-db-sas-46485-3-d,UNKNOWN_DAG_ID,9,3,n2d-highcpu-32,n2d-highcpu-32,7.67,0.8997,ZERO_TIMER,00:00
stg-to-ods-financial-assets-402-11,UNKNOWN_DAG_ID,9,10,e2-standard-32,e2-standard-32,25.49,7.5359,ZERO_TIMER,00:00
stg-to-ods-general-tables-5898-1-c,UNKNOWN_DAG_ID,9,3,n2d-standard-48,n2d-standard-48,7.41,1.5895,ZERO_TIMER,00:00
stg-to-ods-partner-data-4433-1-b,UNKNOWN_DAG_ID,9,5,e2-standard-32,e2-standard-32,9.14,1.4737,ZERO_TIMER,00:00
stg-to-ods-payments-544-2-e,UNKNOWN_DAG_ID,9,9,n2d-standard-32,n2d-standard-32,27.88,9.9634,ZERO_TIMER,00:00
stg-to-ods-sfe-activa-cliente-2554,UNKNOWN_DAG_ID,9,3,n2-highcpu-32,n2-highcpu-32,7.76,0.9938,ZERO_TIMER,00:00
stg-to-ods-tesoreria-22115-1-b,UNKNOWN_DAG_ID,9,9,e2-standard-32,e2-standard-32,11.25,3.0232,ZERO_TIMER,00:00
cluster-wf-carga-act-bfbe08c0-main,wf_Carga_ACTIVA_OUTPUT_Intraday,8,12,n2-standard-32,n2-standard-32,11.18,5.6571,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-02-45-0245,wf_DMR_LOAD_T_02_45,8,4,n2-standard-32,n2-standard-32,5.55,1.0801,T_02_45_CVCM,03:45
cluster-wf-dwh-load-t-05-30-0530,wf_DWH_LOAD_T_05_30,8,3,n2d-standard-32,n2d-standard-32,7.54,1.0783,Timer_05_30,06:30
cluster-wf-load-act-99dee7a2-0530,UNKNOWN_DAG_ID,8,3,n2d-highcpu-32,n2d-highcpu-32,6.92,0.8122,ZERO_TIMER,00:00
comparator-cirbe-22112-1-b,UNKNOWN_DAG_ID,8,3,n2d-standard-48,n2d-standard-48,12.29,2.6358,ZERO_TIMER,00:00
comparator-fiscal-reporting-23080d,UNKNOWN_DAG_ID,8,7,n2-standard-32,n2-standard-32,18.01,5.6083,ZERO_TIMER,00:00
comparator-partner-data-4433-1-k,UNKNOWN_DAG_ID,8,8,n2-standard-32,n2-standard-32,22.27,7.8030,ZERO_TIMER,00:00
comparator-wealth-manager-49067-1,UNKNOWN_DAG_ID,8,8,n2d-standard-32,n2d-standard-32,15.85,5.0986,ZERO_TIMER,00:00
stg-to-ods-cirbe-22112-1-b,UNKNOWN_DAG_ID,8,7,n2d-standard-32,n2d-standard-32,9.07,2.5917,ZERO_TIMER,00:00
stg-to-ods-fiscal-reporting-230809,UNKNOWN_DAG_ID,8,7,n2-standard-32,n2-standard-32,9.19,2.8624,ZERO_TIMER,00:00
stg-to-ods-partner-data-4433-1-k,UNKNOWN_DAG_ID,8,7,n2d-standard-32,n2d-standard-32,11.38,3.2525,ZERO_TIMER,00:00
stg-to-ods-wealth-manager-49067-1,UNKNOWN_DAG_ID,8,9,e2-standard-32,e2-standard-32,17.57,4.7241,ZERO_TIMER,00:00
