cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf-dwh-load-t-01-00-0100,wf_DWH_LOAD_T_01_00,36,8,e2-standard-32,e2-standard-32,51.99,12.5777,T_01_00_GDPR,02:00
comparator-fixed-term-deposits-390,UNKNOWN_DAG_ID,12,8,e2-standard-32,e2-standard-32,28.87,6.9839,ZERO_TIMER,00:00
comparator-partner-data-4433-1-j,UNKNOWN_DAG_ID,29,8,n2-standard-32,n2-standard-32,42.22,14.7929,ZERO_TIMER,00:00
comparator-partner-data-4433-1-k,UNKNOWN_DAG_ID,8,8,n2-standard-32,n2-standard-32,22.27,7.8030,ZERO_TIMER,00:00
comparator-sg-insurances-and-pens3,UNKNOWN_DAG_ID,2,8,e2-standard-32,e2-standard-32,26.76,6.4741,ZERO_TIMER,00:00
comparator-wealth-manager-49067-1,UNKNOWN_DAG_ID,8,8,n2-standard-32,n2-standard-32,15.85,5.5552,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-m,UNKNOWN_DAG_ID,18,8,n2d-standard-32,n2d-standard-32,19.20,6.1732,ZERO_TIMER,00:00
stg-to-ods-risk-data-base-es-2994a,UNKNOWN_DAG_ID,13,8,e2-standard-32,e2-standard-32,22.89,5.5382,ZERO_TIMER,00:00
cluster-wf-dmr-load-t-01-50-0150,wf_DMR_LOAD_T_01_50,9,7,e2-standard-32,e2-standard-32,8.22,1.7678,T_01_50_VL,02:50
cluster-wf-dmr-load-t-02-10-0210,wf_DMR_LOAD_T_02_10,39,7,e2-standard-32,e2-standard-32,45.76,9.8405,T_02_10_SFMC,03:10
cluster-wf-dmr-load-t-08-25-0825,wf_DMR_LOAD_T_08_25,11,7,n2-standard-32,n2-standard-32,12.74,3.9689,T_08_25_TSD,09:25
cluster-wf-dwh-load-24b57cb2-0531,wf_DWH_LOAD_NMIS_T_05_30__T_05_31__T_04_00,24,7,e2-standard-32,e2-standard-32,34.16,7.3458,T_5_31,06:31
cluster-wf-dwh-load-t-05-25-0525,wf_DWH_LOAD_T_05_25,12,7,e2-standard-32,e2-standard-32,14.13,3.0384,T_05_25_FlexiPago,06:25
comparator-card-processing-644-1-c,UNKNOWN_DAG_ID,12,7,n2-standard-32,n2-standard-32,16.22,5.0526,ZERO_TIMER,00:00
comparator-compliance-money-laundf,UNKNOWN_DAG_ID,3,7,n2d-standard-32,n2d-standard-32,8.44,2.4118,ZERO_TIMER,00:00
comparator-current-accounts-385-2f,UNKNOWN_DAG_ID,25,7,n2-standard-32,n2-standard-32,41.27,12.8537,ZERO_TIMER,00:00
comparator-customer-engagement-165,UNKNOWN_DAG_ID,10,7,n2d-standard-32,n2d-standard-32,16.87,4.8217,ZERO_TIMER,00:00
comparator-db-mailroutinghub-es-1d,UNKNOWN_DAG_ID,12,7,n2d-standard-32,n2d-standard-32,13.92,3.9801,ZERO_TIMER,00:00
comparator-db-sas-46485-3-b,UNKNOWN_DAG_ID,5,7,n2-standard-32,n2-standard-32,9.66,3.0074,ZERO_TIMER,00:00
comparator-financial-agents-4550-2,UNKNOWN_DAG_ID,10,7,n2d-standard-32,n2d-standard-32,19.18,5.4837,ZERO_TIMER,00:00
comparator-financial-assets-402-1a,UNKNOWN_DAG_ID,9,7,n2-standard-32,n2-standard-32,18.63,5.8025,ZERO_TIMER,00:00
comparator-fiscal-reporting-23080d,UNKNOWN_DAG_ID,8,7,n2d-standard-32,n2d-standard-32,18.01,5.1474,ZERO_TIMER,00:00
comparator-general-ledger-5900-2-b,UNKNOWN_DAG_ID,4,7,n2d-standard-32,n2d-standard-32,11.74,3.3562,ZERO_TIMER,00:00
comparator-guarantees-confirming7,UNKNOWN_DAG_ID,13,7,e2-standard-32,e2-standard-32,29.00,6.2354,ZERO_TIMER,00:00
comparator-insolvencies-system-631,UNKNOWN_DAG_ID,15,7,n2d-standard-32,n2d-standard-32,28.77,8.2256,ZERO_TIMER,00:00
comparator-integrated-mailing-6643,UNKNOWN_DAG_ID,6,7,e2-standard-32,e2-standard-32,11.90,2.5582,ZERO_TIMER,00:00
comparator-mis-590-2-b,UNKNOWN_DAG_ID,58,7,n2-standard-32,n2-standard-32,52.74,16.4270,ZERO_TIMER,00:00
comparator-mis-590-2-d,UNKNOWN_DAG_ID,5,7,n2d-standard-32,n2d-standard-32,5.84,1.6682,ZERO_TIMER,00:00
comparator-mis-590-2-f,UNKNOWN_DAG_ID,6,7,e2-standard-32,e2-standard-32,12.29,2.6438,ZERO_TIMER,00:00
comparator-mis-590-2-k,UNKNOWN_DAG_ID,4,7,n2-standard-32,n2-standard-32,8.47,2.6368,ZERO_TIMER,00:00
