cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf_spark_231,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_65,e2-standard-32,e2,14,14,448,448,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_51,n2d-standard-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_286,n2-standard-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_323,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_128,n2d-standard-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_2,n2d-standard-32,n2d,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_210,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_337,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_347,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_220,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_160,n2d-standard-32,n2d,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_328,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_250,n2-highcpu-8,n2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_117,e2-standard-32,e2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_261,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_369,n2d-standard-32,n2d,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_312,n2-standard-32,n2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
