DAG_ID,CLUSTER_NAME
wf_DMR_LOAD_T_05_35,cluster-wf-dmr-load-t-05-35-0535
wf_LOAD_Infocentro_T_01_00__T_04_00,cluster-wf-load-info-986acbb7-0100
wf_LOAD_Infocentro_T_01_00__T_04_00,cluster-wf-load-info-986acbb7-0400
wf_Genera_Report_Error,cluster-wf-genera-re-3f8fe730-main
wf_DWH_LOAD_T_22_45,cluster-wf-dwh-load-t-22-45-2245
wf_DMR_LOAD_T_02_00,cluster-wf-dmr-load-t-02-00-0200
wf_LOAD_ACT_T_01_30,cluster-wf-load-act-t-01-30-0130
wf_DWH_LOAD_T_00_00,cluster-wf-dwh-load-t-00-00-0000
wf_DWH_LOAD_T_05_25,cluster-wf-dwh-load-t-05-25-0525
wf_DWH_LOAD_T_04_30,cluster-wf-dwh-load-t-04-30-0430
wf_LOAD_Pulse,cluster-wf-load-pulse-main
wf_DMR_LOAD_T_01_00,cluster-wf-dmr-load-t-01-00-0100
wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,cluster-wf-dmr-load-e338500b-2340
wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,cluster-wf-dmr-load-e338500b-0100
wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,cluster-wf-dmr-load-e338500b-0000
wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,cluster-wf-dmr-load-e338500b-0300
wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,cluster-wf-dmr-load-e338500b-0035
wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,cluster-wf-dmr-load-e338500b-2208
wf_DMR_LOAD_T_22_25,cluster-wf-dmr-load-t-22-25-2225
wf_DMR_LOAD_T_03_25,cluster-wf-dmr-load-t-03-25-0325
wf_DWH_LOAD_NMIS_T_04_35__T_04_30,cluster-wf-dwh-load-940807f2-0435
wf_DMR_LOAD_T_00_20,cluster-wf-dmr-load-t-00-20-0020
wf_DMR_LOAD_T_08_30,cluster-wf-dmr-load-t-08-30-0830
wf_Carga_Gatekeeper_General,cluster-wf-carga-gat-24e36832-main
wf_DMR_LOAD_T_22_10,cluster-wf-dmr-load-t-22-10-2210
wf_LOAD_Infocentro_T_01_30,cluster-wf-load-info-6c8abf4b-0130
wf_Anonimizacion_Daily_LOAD,cluster-wf-anonimiza-636bf97f-main
wf_DMR_LOAD_T_01_50,cluster-wf-dmr-load-t-01-50-0150
wf_LOAD_Infocentro_T_06_35,cluster-wf-load-info-dbf4b473-0635
wf_CRO_RC_LOAD,cluster-wf-cro-rc-load-main
wf_DWH_LOAD_T_21_06,cluster-wf-dwh-load-t-21-06-2106
wf_LOAD_Infocentro_T_00_00,cluster-wf-load-info-25f3c2ad-0000
wf_Anonimizacion_LOAD,cluster-wf-anonimizacion-load-main
wf_DWH_LOAD_NMIS_T_04_30,cluster-wf-dwh-load-85f9116a-0430
wf_DMR_LOAD_T_23_50,cluster-wf-dmr-load-t-23-50-2350
wf_DWH_LOAD_T_04_25,cluster-wf-dwh-load-t-04-25-0425
wf_LOAD_ACT_T_04_04,cluster-wf-load-act-t-04-04-0404
wf_DWH_LOAD_T_22_31,cluster-wf-dwh-load-t-22-31-2231
wf_DMR_LOAD_T_22_00,cluster-wf-dmr-load-t-22-00-2200
wf_DMR_LOAD_T_02_45,cluster-wf-dmr-load-t-02-45-0245
wf_DWH_LOAD_T_04_00__T_04_20,cluster-wf-dwh-load-4b53af6c-0400
wf_DWH_LOAD_T_04_00__T_04_20,cluster-wf-dwh-load-4b53af6c-0420
wf_DMR_LOAD_T_09_00__T_23_15,cluster-wf-dmr-load-03d556e9-2315
wf_LOAD_Infocentro_T_05_30,cluster-wf-load-info-c9c4d332-0530
wf_LOAD_Infocentro_T_04_00,cluster-wf-load-info-ac79fee8-0400
wf_YARN_DRIVER_DEMO_T_03_00,cluster-wf-yarn-driver-demo
